id,node_type
9,IDENTIFIER DOWN
34,ElseStatement DOWN
18,CALL DOWN
132,TryStatement UP
97,CastTarget UP
81,<operator>.indirection DOWN
111,ALIAS_TYPE_FULL_NAME UP
28,<operator>.equals UP
21,BLOCK UP
50,<operator>.postIncrement UP
78,<operator>.assignmentPlus DOWN
61,RETURN DOWN
75,<operator>.multiplication DOWN
19,LITERAL DOWN
84,MEMBER UP
124,<operator>.or DOWN
120,SizeofOperand DOWN
92,SwitchStatement DOWN
106,<operator>.sizeOf UP
47,ForStatement UP
69,<operator>.modulo DOWN
98,<operator>.cast UP
11,<operator>.assignment UP
64,<operator>.assignmentMinus DOWN
109,<operator>.and UP
31,<operator>.logicalAnd DOWN
56,<operator>.lessEqualsThan UP
46,GotoStatement UP
25,METHOD_RETURN UP
121,<operator>.preIncrement DOWN
129,<operator>.arithmeticShiftRight UP
41,<operator>.subtraction UP
112,DoStatement UP
27,METHOD DOWN
52,<operator>.division DOWN
35,<operator>.greaterThan UP
26,METHOD UP
89,Label UP
45,GotoStatement DOWN
67,<operator>.memberAccess DOWN
116,<operator>.assignmentDivision UP
60,<operator>.addressOf UP
12,<operator>.assignment DOWN
33,IfStatement DOWN
1,NAME UP
94,FILE UP
68,<operator>.modulo UP
96,COMMENT DOWN
5,LOCAL UP
17,CALL UP
22,BLOCK DOWN
13,<operator>.notEquals UP
83,ContinueStatement UP
80,<operator>.indirection UP
100,CastTarget DOWN
107,<operator>.logicalNot UP
117,<operator>.assignmentDivision DOWN
79,<operator>.minus UP
82,ContinueStatement DOWN
73,RETURN UP
14,<operator>.notEquals DOWN
91,SwitchStatement UP
20,LITERAL UP
10,NAME DOWN
6,LOCAL DOWN
101,<operator>.assignmentMultiplication UP
49,<operator>.postIncrement DOWN
105,<operator>.sizeOf DOWN
44,<operator>.addition DOWN
118,ALIAS_TYPE_FULL_NAME DOWN
122,<operator>.preIncrement UP
114,ConditionalExpression UP
51,<operator>.division UP
76,<operator>.minus DOWN
36,<operator>.greaterThan DOWN
108,<operator>.logicalNot DOWN
102,<operator>.assignmentMultiplication DOWN
113,DoStatement DOWN
86,TYPE_DECL DOWN
123,<operator>.or UP
63,<operator>.assignmentMinus UP
54,<operator>.greaterEqualsThan DOWN
74,<operator>.multiplication UP
23,WhileStatement UP
77,<operator>.assignmentPlus UP
16,<operator>.indirectMemberAccess DOWN
2,METHOD_PARAMETER_IN UP
66,<operator>.memberAccess UP
131,TryStatement DOWN
4,TYPE_FULL_NAME DOWN
93,COMMENT UP
115,ConditionalExpression DOWN
88,ElseStatement UP
110,<operator>.and DOWN
37,<operator>.lessThan UP
43,<operator>.addition UP
104,<operator>.logicalOr DOWN
95,FILE DOWN
99,<operator>.cast DOWN
59,<operator>.addressOf DOWN
87,MEMBER DOWN
119,SizeofOperand UP
8,IDENTIFIER UP
32,IfStatement UP
40,<operator>.computedMemberAccess DOWN
71,NAMESPACE_BLOCK DOWN
7,TYPE_FULL_NAME UP
53,<operator>.greaterEqualsThan UP
24,WhileStatement DOWN
58,<operator>.postDecrement UP
57,<operator>.lessEqualsThan DOWN
103,<operator>.logicalOr UP
3,METHOD_PARAMETER_IN DOWN
48,ForStatement DOWN
62,BreakStatement DOWN
126,<operator>.plus UP
128,<operator>.preDecrement DOWN
29,<operator>.equals DOWN
39,<operator>.computedMemberAccess UP
90,Label DOWN
15,<operator>.indirectMemberAccess UP
30,<operator>.logicalAnd UP
72,METHOD_RETURN DOWN
85,TYPE_DECL UP
130,<operator>.arithmeticShiftRight DOWN
65,BreakStatement UP
125,<operator>.plus DOWN
127,<operator>.preDecrement UP
42,<operator>.subtraction DOWN
70,NAMESPACE_BLOCK UP
55,<operator>.postDecrement DOWN
38,<operator>.lessThan DOWN
