id,path
5683,7 8 39 43 114 115 40 9 10
921,20 74 11 21 32 21 23 21 22 18 10
3192,7 8 77 78 40 40 9 10
15553,7 8 77 21 32 21 22 33 54 67 9 4
21362,7 8 66 11 32 21 22 33 31 54 67 81 9 10
8319,20 17 21 32 21 22 33 31 29 40 9 10
19329,7 8 56 109 110 38 9 4
20094,7 8 77 21 32 21 22 33 54 67 9 10
11324,7 8 56 109 110 38 9 10
8320,20 17 21 32 21 22 33 31 29 40 9 4
21737,20 39 40 29 9 10
1739,1 8 41 17 43 44 18 10
14803,7 8 17 28 32 33 22 49 67 40 9 4
21736,20 39 40 29 9 4
2222,1 8 17 21 22 33 29 18 10
18880,7 8 80 17 18 81 44 9 10
25420,20 74 11 21 22 33 38 9 10
18871,7 8 80 17 18 81 44 9 4
25419,20 74 11 21 22 33 38 9 4
11436,20 41 39 74 75 9 10
16491,1 8 41 13 23 24 22 12 9 4
11437,20 41 39 74 75 9 4
23041,1 8 17 74 43 11 21 47 21 22 61 9 4
12822,111 85 70 71 27 72 4
17080,7 8 39 43 114 115 40 9 4
922,20 74 11 21 32 21 23 21 22 18 19
3191,7 8 77 78 40 40 9 4
23514,7 8 56 57 42 52 44 9 4
17376,7 8 60 17 21 22 24 14 52 9 4
26561,20 56 57 57 40 9 10
12470,7 8 43 11 21 22 78 9 4
23152,7 8 43 11 21 22 78 9 10
584,1 8 74 75 42 9 4
4599,7 8 77 78 18 40 9 4
8590,1 8 13 32 33 22 18 19
9503,7 8 77 78 18 40 9 10
11129,7 8 51 98 74 75 19
836,1 8 13 32 33 22 18 10
7465,7 8 17 77 21 47 88 32 21 22 61 9 10
19241,7 8 122 47 48 22 33 18 10
24750,7 8 56 103 104 57 9 4
26560,20 56 57 57 40 9 4
4779,1 8 73 32 21 22 61 18 10
7464,7 8 17 77 21 47 88 32 21 22 61 9 4
12289,7 8 43 11 21 32 33 34 33 104 31 54 40 9 10
3469,1 8 39 17 21 22 18 19
9188,1 8 39 41 42 40 9 10
9644,7 8 37 23 24 22 33 29 9 10
3468,1 8 39 17 21 22 18 10
9191,1 8 39 41 42 40 9 4
6507,20 35 30 31 38 40 9 4
24342,7 5 21 22 18 67 40 9 10
20170,1 8 11 21 32 21 47 21 32 33 34 22 48 12 9 4
12686,1 8 11 12 115 38 18 10
7337,1 8 13 32 33 22 12 40 9 4
4854,7 8 11 12 52 40 9 4
21210,20 74 41 17 21 32 21 22 33 57 9 4
5361,1 8 13 32 33 22 12 40 9 10
23683,7 8 17 21 47 21 47 21 22 18 19
6506,20 35 30 31 38 40 9 10
23513,7 8 56 57 42 52 44 9 10
4855,7 8 11 12 52 40 9 10
20862,20 129 17 21 22 18 19
3994,7 8 39 53 32 33 22 12 40 9 4
13051,7 8 17 21 47 21 47 21 22 18 10
15943,20 11 21 22 24 18 40 9 10
825,7 8 66 17 21 32 33 34 22 18 10
20861,20 129 17 21 22 18 10
22564,1 8 56 57 44 52 40 9 10
8843,20 43 39 11 21 47 21 47 21 22 61 19
11605,7 8 39 11 12 44 75 40 40 9 4
21740,1 8 39 17 18 40 29 9 4
9578,7 8 39 11 12 44 75 40 40 9 10
12680,1 8 17 37 114 115 18 10
16246,1 8 56 57 44 52 40 9 4
826,7 8 66 17 21 32 33 34 22 18 19
8567,7 8 37 32 33 22 12 81 9 10
14739,7 8 106 17 21 22 48 12 9 4
26987,1 8 41 39 17 28 29 76 19
14738,7 8 106 17 21 22 48 12 9 10
8568,7 8 37 32 33 22 12 81 9 4
13335,20 43 11 21 23 21 22 33 14 81 9 10
