id,token
1230,?_
486,gkd
206,stdin
1235,bigcount
572,year
750,fifty
147,wholeequal
1180,salary
381,nouw
112,score
1155,rab
662,intnn
1028,intnm
344,tel
414,ten
965,tem
898,longlongn
1308,vis
780,sheshi
301,#
396,$
516,printlist
373,printfffaveragenaveragen
982,(
1140,xubu
986,)
1382,30.625
272,*
806,+
571,-
1422,version
48,.
807,/
32,0
671,exam
799,stot
35,1
1267,10.5
72,2
132,3
33,4
298,nofibonaccinumber
429,size
1349,stop
104,5
271,guess
556,left
102,6
324,10.0
284,7
131,8
62,9
739,eleven
720,makesum
805,=
594,?
329,aftersorted
1225,aaa
1084,shiyi
903,hang
669,stopminus
1383,intnum
186,1000
949,turn
349,matrix
1346,ffffffff
123,result
929,daxie
384,after
61,_
28,a
785,aba
24,b
22,c
6,d
64,e
97,f
96,g
905,plandays
66,h
25,i
319,1010
23,j
338,thecountforfailedd
99,k
59,l
12,m
43,n
297,o
3,p
13,q
14,r
45,s
628,abs
75,t
114,u
361,workout
286,v
574,/**/
757,32.0
100,w
547,1001
41,x
101,y
60,z
1281,information
533,intarrayshift
1008,standard
15,taila
845,nine
941,november
209,stdout
634,pval
1007,isp
314,ack
168,intmaxtime
1205,good
632,isx
992,rea
519,compute
31,strlen
205,rec
989,tie
1195,canfddan
447,0.00005
1017,zuo
128,0.00001
971,structv
872,zuu
42,quicksort
453,cha
264,others
988,tis
225,add
311,area
686,ret
348,res
1059,posi
952,jiashi
1253,charlength
1344,rez
776,chk
1012,pay
371,check
393,cho
316,list
345,chr
1190,els
1352,adbdid
1029,printfmaxdmax
925,jiecheng
1240,structvin
586,bdis
326,30.0
1262,1.00
602,lens
603,lent
735,argv
729,ddcd
1428,noperfactnumber
1047,gra
408,intpart
467,end
20,lena
26,lenb
749,forty
753,eng
734,argc
1031,structp
833,ihangjlie
1149,structm
1221,ticket
1406,eightteen
683,structs
1396,lmini
523,pout
694,sheng
1201,message
1395,lminz
963,demax
1353,bdid
57,4.0
928,xiaoxie
1066,1.03
1124,toosmallgameover
89,eof
653,age
337,fenshu
232,arrayshift
529,namelen
621,pea
1027,ffiffiffi
92,number
709,exceeddticket
1334,(00)
354,tmp
1129,structstudentsn
145,judge
1178,peo
708,per
706,order
1169,jane
1257,period
1337,canfffmn
1427,ddcddcdd
1141,distant
343,birth
666,eps
722,whitebluered
56,dddd
262,intnnn
196,exit
737,system
1252,10_2.5
1296,400
315,even
1068,restriction
1415,gui
359,other
696,tong
1050,queen
1119,0.000001
455,ping
560,cmp
636,save
364,soclock
1161,valid
531,minprice
1117,tian
484,bubble
1156,tor
454,printdigits
768,cnd
796,tot
1128,countoffailed
1184,outcome
