id,node_type
11,<operator>.computedMemberAccess UP
20,<operator>.subtraction DOWN
2,METHOD_PARAMETER_IN UP
14,<operator>.assignment UP
37,METHOD_RETURN UP
9,IDENTIFIER UP
31,<operator>.multiplication DOWN
44,NAMESPACE_BLOCK UP
22,<operator>.addition DOWN
42,<operator>.addressOf DOWN
8,NAME DOWN
40,CALL UP
7,LOCAL DOWN
18,<operator>.lessThan DOWN
35,BLOCK UP
30,<operator>.multiplication UP
25,<operator>.postIncrement DOWN
39,METHOD DOWN
23,ForStatement UP
28,<operator>.greaterEqualsThan UP
46,METHOD_RETURN DOWN
15,<operator>.assignment DOWN
10,IDENTIFIER DOWN
26,<operator>.postIncrement UP
45,NAMESPACE_BLOCK DOWN
3,METHOD_PARAMETER_IN DOWN
24,ForStatement DOWN
33,IfStatement DOWN
34,RETURN DOWN
38,METHOD UP
5,TYPE_FULL_NAME UP
12,<operator>.computedMemberAccess DOWN
16,LITERAL UP
41,CALL DOWN
36,RETURN UP
6,LOCAL UP
29,<operator>.greaterEqualsThan DOWN
1,NAME UP
13,LITERAL DOWN
17,<operator>.lessThan UP
27,BLOCK DOWN
32,IfStatement UP
21,<operator>.addition UP
4,TYPE_FULL_NAME DOWN
43,<operator>.addressOf UP
19,<operator>.subtraction UP
