id,path
29,5 25 26 27 3 8
4,1 9 11 12 13
9,1 9 14 15 10 4
15,5 9 16 11 12 10 4
70,1 30 31 40 17 10 4
61,5 9 16 39 40 10 8
8,1 9 14 15 10 8
14,5 9 16 11 12 10 8
69,1 30 31 40 17 10 8
62,5 9 16 39 40 10 4
75,1 9 42 43 10 4
56,1 30 31 10 4
63,1 9 39 28 29 10 4
51,5 25 26 27 3 4
55,1 30 31 10 8
65,5 9 39 28 29 10 8
11,5 9 16 17 10 8
12,5 9 16 17 10 4
46,5 9 28 32 33 34 10 8
80,5 9 42 44 45 38 40 17 10 8
78,5 9 39 37 38 13
42,5 9 16 11 12 31 8
47,5 9 28 32 33 34 10 4
45,1 9 28 32 33 34 10 8
32,1 2 26 27 23 7 4
49,5 9 35 32 33 36 34 12 17 10 8
44,1 9 16 11 12 31 17 10 8
76,5 9 42 43 10 4
87,1 9 39 28 29 13
50,5 9 35 32 33 36 34 12 17 10 4
85,5 9 46 47 40 17 10 4
19,1 9 14 18 19 21 10 8
20,5 9 14 18 19 21 10 8
77,5 9 42 43 10 8
74,1 9 11 12 31 40 17 10 4
81,1 9 42 44 45 38 40 17 10 8
86,5 9 46 47 40 17 10 8
84,1 9 46 47 40 17 10 4
21,5 9 14 18 19 21 10 4
82,1 9 42 44 45 38 40 17 10 4
83,1 9 16 11 12 10 4
16,5 9 11 18 19 15 10 4
13,1 9 16 11 12 10 8
57,1 9 37 38 10 4
60,1 9 16 39 40 10 8
48,1 9 35 32 33 36 34 12 17 10 8
67,1 9 28 32 33 41
64,5 9 39 28 29 10 4
68,1 9 16 39 40 10 4
52,5 2 26 27 23 33 29 17 10 4
5,5 9 11 12 13
43,1 9 16 11 12 31 8
72,5 9 11 12 31 8
79,1 9 39 37 38 13
36,1 9 16 17 10 4
10,1 9 16 17 10 8
30,1 26 27 3 8
71,1 9 11 12 31 8
1,1 2 3 4
31,1 26 27 3 4
2,5 6 7 8
35,5 2 3 8
39,1 9 16 28 29 10 4
28,5 25 26 27 8
7,5 9 14 15 10 8
38,1 9 16 28 29 10 8
17,20 11 18 19 15 10 4
22,1 9 22 18 19 23 12 17 10 8
41,1 30 31 17 10 4
18,20 11 18 19 15 10 8
40,1 30 31 17 10 8
37,5 9 16 28 29 10 8
53,1 2 26 27 23 33 29 17 10 4
54,1 2 26 27 23 33 29 17 10 8
25,5 6 24 23 19 12 10 8
66,5 9 28 32 33 41
3,1 9 10 4
26,1 6 24 23 19 12 10 8
33,5 2 26 27 23 7 4
73,5 9 11 12 31 40 17 10 8
6,5 9 10 8
23,5 9 22 18 19 23 12 17 10 8
27,1 6 24 23 19 12 10 4
88,5 9 39 28 29 13
59,5 9 37 38 10 8
34,5 2 26 27 23 7 8
58,5 9 37 38 10 4
24,5 9 22 18 19 23 12 17 10 4
